iter	Passed	Remaining
0	11	1185
1	24	1198
2	120	3906
3	174	4192
4	187	3565
5	208	3259
6	223	2969
7	245	2827
8	256	2590
9	269	2425
10	288	2335
11	306	2245
12	320	2142
13	358	2199
14	374	2122
15	389	2042
16	399	1949
17	410	1868
18	418	1785
19	426	1705
20	434	1635
21	441	1564
22	447	1499
23	454	1439
24	462	1387
25	469	1334
26	476	1289
27	482	1241
28	488	1194
29	497	1159
30	503	1121
31	510	1085
32	517	1050
33	523	1015
34	529	984
35	536	953
36	543	924
37	549	895
38	557	871
39	563	845
40	570	821
41	577	797
42	583	773
43	593	755
44	599	732
45	606	712
46	612	691
47	619	671
48	625	651
49	632	632
50	638	613
51	644	594
52	653	579
53	659	561
54	666	545
55	671	527
56	678	511
57	685	496
58	691	480
59	698	465
60	704	450
61	710	435
62	720	423
63	726	408
64	733	395
65	739	381
66	746	367
67	752	354
68	758	340
69	765	327
70	771	315
71	780	303
72	787	291
73	794	279
74	802	267
75	810	255
76	816	243
77	823	232
78	829	220
79	834	208
80	842	197
81	848	186
82	855	175
83	861	164
84	867	153
85	875	142
86	881	131
87	890	121
88	895	110
89	902	100
90	908	89
91	914	79
92	920	69
93	925	59
94	929	48
95	936	39
96	942	29
97	947	19
98	953	9
99	958	0
